date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-03-04,8.15,8.29,7.87,7.77,386457.91,-0.41,-4.95,7.932,7.811,7.463,515528.71,454745.25,293501.3,1.6
2016-03-03,8.24,8.55,8.27,8.08,517168.5,-0.05,-0.6,7.966,7.761,7.414,576896.22,425648.88,281336.91,2.15
2016-03-02,7.88,8.37,8.32,7.79,673794.38,0.36,4.52,7.862,7.671,7.331,623440.33,392544.14,263553.22,2.8
2016-03-01,7.22,7.96,7.96,7.0,529369.75,0.72,9.95,7.72,7.581,7.26,522895.57,345510.39,239318.58,2.2
2016-02-29,7.88,7.98,7.24,7.24,470853.03,-0.8,-9.95,7.624,7.51,7.215,449339.84,310089.4,222021.59,1.95
2016-02-26,7.8,8.18,8.04,7.36,693295.44,0.29,3.74,7.69,7.481,7.243,393961.79,273460.81,202978.02,2.88
2016-02-25,7.6,8.26,7.75,7.55,749889.06,0.14,1.84,7.556,7.382,7.227,274401.54,214926.87,172074.85,3.11
2016-02-24,7.47,7.62,7.61,7.36,171070.59,0.13,1.74,7.48,7.315,7.221,161647.95,154751.98,141876.7,0.71
2016-02-23,7.59,7.63,7.48,7.31,161591.08,-0.09,-1.19,7.442,7.25,7.234,168125.21,146267.82,143323.04,0.67
2016-02-22,7.45,7.58,7.57,7.43,193962.8,0.19,2.58,7.396,7.197,7.258,170838.95,141261.19,142101.93,0.8
2016-02-19,7.37,7.45,7.37,7.31,95494.18,0.0,0.0,7.272,7.115,7.266,152959.82,132257.35,137466.25,0.4
2016-02-18,7.46,7.53,7.37,7.34,186121.11,-0.04,-0.54,7.208,7.066,7.282,155452.19,137024.95,139679.23,0.77
2016-02-17,7.25,7.45,7.42,7.14,203456.89,0.17,2.35,7.15,6.99,7.32,147856.01,134562.3,137489.55,0.84
2016-02-16,6.99,7.28,7.25,6.96,175159.77,0.3,4.32,7.058,6.939,7.349,124410.42,133126.77,135790.73,0.73
2016-02-15,6.83,6.99,6.95,6.75,104567.17,-0.11,-1.56,6.998,6.919,7.402,111683.43,133953.79,133091.21,0.43
2016-02-05,7.1,7.16,7.05,7.04,107956.01,-0.04,-0.56,6.958,7.005,7.464,111554.88,132495.24,139222.85,0.45
2016-02-04,6.96,7.17,7.08,6.92,148140.19,0.12,1.72,6.924,7.072,7.556,118597.7,129222.84,145268.81,0.61
2016-02-03,6.89,6.96,6.96,6.78,86228.95,0.01,0.14,6.83,7.127,7.626,121268.6,129001.43,140568.91,0.36
2016-02-02,6.76,6.98,6.95,6.72,111524.81,0.19,2.81,6.82,7.218,7.748,141843.12,140378.27,142315.15,0.46
2016-02-01,6.8,6.86,6.75,6.65,103924.45,-0.11,-1.6,6.84,7.319,7.864,156224.15,142942.67,147810.74,0.43
2016-01-29,6.66,6.9,6.88,6.59,143170.12,0.27,4.08,7.052,7.417,7.986,153435.6,142675.14,149029.25,0.59
2016-01-28,6.88,7.07,6.61,6.53,161494.67,-0.3,-4.34,7.22,7.497,8.151,139847.97,142333.51,147937.22,0.67
2016-01-27,7.1,7.19,6.91,6.6,189101.53,-0.13,-1.85,7.424,7.65,8.337,136734.25,140416.79,148053.61,0.78
2016-01-26,7.77,7.8,7.05,7.04,183429.98,-0.77,-9.85,7.616,7.759,8.51,138913.42,138454.7,145214.12,0.76
2016-01-25,7.76,7.92,7.81,7.76,89981.68,0.09,1.17,7.798,7.884,8.674,129661.18,132228.64,146837.82,0.37
2016-01-22,7.7,7.78,7.72,7.6,75231.99,0.1,1.31,7.782,7.923,8.821,131914.69,145950.47,149327.59,0.34
2016-01-21,7.77,7.96,7.63,7.6,145926.09,-0.24,-3.05,7.774,8.04,8.97,144819.04,161314.78,153809.28,0.66
2016-01-20,7.95,8.08,7.87,7.84,199997.34,-0.09,-1.13,7.876,8.125,9.122,144099.33,152136.39,161118.43,0.91
2016-01-19,7.73,8.01,7.96,7.68,137168.81,0.23,2.98,7.902,8.278,9.26,137995.97,144252.03,160417.38,0.62
2016-01-18,7.6,7.87,7.73,7.38,101249.23,0.04,0.52,7.97,8.408,9.394,134796.1,152678.82,163482.06,0.46
2016-01-15,8.12,8.13,7.68,7.67,139753.73,-0.46,-5.65,8.064,8.554,9.534,159986.24,155383.37,171097.69,0.64
2016-01-14,7.75,8.17,8.14,7.71,142327.52,0.17,2.13,8.306,8.804,9.676,177810.51,153540.94,175572.9,0.65
2016-01-13,8.35,8.44,8.0,7.9,169480.58,-0.3,-3.61,8.374,9.023,9.788,160173.46,155690.44,174662.9,0.77
2016-01-12,8.34,8.45,8.3,8.18,121169.44,0.09,1.1,8.654,9.261,9.907,150508.08,151973.54,173500.19,0.55
2016-01-11,8.72,8.92,8.2,8.19,227199.92,-0.67,-7.55,8.846,9.464,10.009,170561.53,161447.0,175833.22,1.03
2016-01-08,8.8,9.2,8.89,8.5,228875.11,0.42,4.96,9.044,9.719,10.104,150780.49,152704.71,169964.87,1.04
2016-01-07,9.32,9.32,8.48,8.46,54142.26,-0.92,-9.79,9.302,9.9,10.165,129271.36,146303.79,164467.99,0.25
2016-01-06,9.28,9.45,9.4,9.21,121153.67,0.15,1.62,9.672,10.119,10.249,151207.41,170100.47,169322.2,0.55
2016-01-05,8.9,9.45,9.26,8.85,221436.69,0.06,0.65,9.868,10.241,10.299,153438.99,176582.74,172953.14,1.01
2016-01-04,10.22,10.26,9.19,9.18,128294.73,-1.0,-9.81,10.082,10.379,10.366,152332.46,174285.31,168478.79,0.58
